Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,Initial_DataCollection_AverageReturn
0,16.576923,6.4995446,32.0,5.0,16.576923076923077,8.539419,4.5956297,29.0,3.0,8.53941908713693,2058,4.446380853652954,-0.04122839,8.539419
1,31.384615,17.778719,88.0,15.0,31.384615384615383,16.877048,8.371083,58.0,6.0,16.87704918032787,4117,8.866934776306152,-0.0019200593,8.539419
2,33.5,12.906716,60.0,16.0,33.5,35.233334,18.883295,91.0,12.0,35.233333333333334,6231,13.350314617156982,-0.023894003,8.539419
3,29.5,10.147132,50.0,16.0,29.5,34.5,16.749626,90.0,11.0,34.5,8301,17.787163972854614,-0.02574023,8.539419
4,46.2,17.780888,67.0,15.0,46.2,32.015625,18.802004,133.0,11.0,32.015625,10350,22.260812759399414,0.031648558,8.539419
5,102.5,42.181156,165.0,46.0,102.5,40.72549,15.570307,76.0,13.0,40.72549019607843,12427,26.706032514572144,-0.026977126,8.539419
6,70.57143,20.388073,108.0,43.0,70.57142857142857,74.35714,33.861286,151.0,25.0,74.35714285714286,14509,31.385929822921753,-0.029876404,8.539419
7,100.8,34.172504,146.0,59.0,100.8,84.28,42.020493,160.0,12.0,84.28,16616,36.146859645843506,-0.065901764,8.539419
8,85.0,25.721586,116.0,41.0,85.0,104.35,49.98127,219.0,36.0,104.35,18703,40.616246461868286,-0.037096053,8.539419
9,213.5,99.5,313.0,114.0,213.5,92.78261,34.597004,199.0,33.0,92.78260869565217,20837,45.17788505554199,-0.0411303,8.539419
10,144.5,63.923782,235.0,64.0,144.5,108.1579,34.244114,172.0,33.0,108.15789473684211,22892,49.880051136016846,-0.0008460534,8.539419
11,131.25,46.1106,193.0,75.0,131.25,138.9375,40.838814,191.0,40.0,138.9375,25115,54.75351858139038,-0.02654276,8.539419
12,266.66666,125.404236,444.0,176.0,266.6666666666667,141.4,56.243275,235.0,29.0,141.4,27236,59.95676851272583,-0.0061112707,8.539419
13,197.0,69.77583,256.0,99.0,197.0,181.91667,65.29735,364.0,117.0,181.91666666666666,29419,64.89132523536682,0.005845266,8.539419
14,157.0,19.866219,185.0,141.0,157.0,188.36363,106.84251,478.0,44.0,188.36363636363637,31491,69.41611933708191,-0.05046872,8.539419
15,275.0,50.0,325.0,225.0,275.0,197.09091,54.83439,300.0,138.0,197.0909090909091,33659,74.34431958198547,-0.004794765,8.539419
16,519.0,0.0,519.0,519.0,519.0,260.75,54.218884,341.0,191.0,260.75,35745,78.97057580947876,0.010833678,8.539419
17,341.5,5.5,347.0,336.0,341.5,312.57144,64.364716,371.0,205.0,312.57142857142856,37933,84.09949731826782,-0.02176573,8.539419
18,1000.0,0.0,1000.0,1000.0,1000.0,512.8,78.080475,621.0,385.0,512.8,40497,90.64022946357727,-0.0019028019,8.539419
19,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,43497,97.72015261650085,0.02033315,8.539419
20,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,46497,104.79907250404358,0.01270918,8.539419
21,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,49497,112.17985582351685,0.0064338837,8.539419
22,565.0,0.0,565.0,565.0,565.0,1000.0,0.0,1000.0,1000.0,1000.0,52497,118.50850224494934,0.00053276314,8.539419
23,1000.0,0.0,1000.0,1000.0,1000.0,424.33334,331.01544,1000.0,133.0,424.3333333333333,55043,124.86175584793091,-0.036082927,8.539419
24,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,58043,131.95657181739807,-0.006125395,8.539419
25,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,61043,139.17731094360352,-0.017872872,8.539419
26,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,64043,146.2953815460205,0.020367775,8.539419
27,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,67043,153.5936758518219,0.00876668,8.539419
28,243.5,63.5,307.0,180.0,243.5,1000.0,0.0,1000.0,1000.0,1000.0,70043,159.77213954925537,0.025964696,8.539419
29,80.2,38.37916,123.0,8.0,80.2,189.66667,70.518715,279.0,11.0,189.66666666666666,72319,164.51655411720276,0.009126036,8.539419
30,107.25,58.22961,156.0,8.0,107.25,93.5,45.697372,181.0,6.0,93.5,74376,168.9548304080963,-0.010977619,8.539419
31,1000.0,0.0,1000.0,1000.0,1000.0,160.71428,45.831104,245.0,88.0,160.71428571428572,76626,174.7314155101776,-0.002808286,8.539419
32,1000.0,0.0,1000.0,1000.0,1000.0,492.6,436.2112,1000.0,8.0,492.6,79089,180.89868235588074,-0.0068448833,8.539419
33,214.5,204.5,419.0,10.0,214.5,1000.0,0.0,1000.0,1000.0,1000.0,82089,187.00629925727844,-0.021121895,8.539419
34,113.6,59.51336,184.0,8.0,113.6,730.3333,381.36627,1000.0,191.0,730.3333333333334,84280,191.8972282409668,-0.012222771,8.539419
35,88.6,8.40476,105.0,83.0,88.6,85.68,48.261555,162.0,6.0,85.68,86422,196.50380635261536,-0.03607984,8.539419
36,84.8,9.620811,103.0,76.0,84.8,93.86364,13.528743,126.0,72.0,93.86363636363636,88487,200.94864630699158,-0.0074856495,8.539419
37,84.0,8.049845,95.0,71.0,84.0,88.791664,9.999913,110.0,70.0,88.79166666666667,90618,205.60985469818115,0.0038561416,8.539419
38,81.6,2.7276363,85.0,78.0,81.6,81.76923,6.62343,93.0,69.0,81.76923076923077,92744,210.17171001434326,0.0037828735,8.539419
39,101.0,4.3011627,106.0,95.0,101.0,81.84615,4.452245,93.0,74.0,81.84615384615384,94872,214.66213822364807,-5.069532e-06,8.539419
40,110.25,6.219928,118.0,101.0,110.25,98.38095,7.990925,116.0,84.0,98.38095238095238,96938,219.13803458213806,-0.0022096117,8.539419
41,162.0,19.61292,189.0,143.0,162.0,110.789474,9.076163,124.0,94.0,110.78947368421052,99043,223.74766397476196,-0.003401976,8.539419
42,334.5,16.5,351.0,318.0,334.5,148.64285,16.65879,192.0,120.0,148.64285714285714,101124,228.64342951774597,0.00086771254,8.539419
43,1000.0,0.0,1000.0,1000.0,1000.0,348.5,68.368484,475.0,248.0,348.5,103215,234.160147190094,-0.00266408,8.539419
44,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,106215,241.34813714027405,0.0024296748,8.539419
45,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,109215,248.42912912368774,0.0042961743,8.539419
46,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,112215,255.57628178596497,0.0035928523,8.539419
47,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,115215,262.6591625213623,-0.02263686,8.539419
48,745.0,0.0,745.0,745.0,745.0,1000.0,0.0,1000.0,1000.0,1000.0,118215,269.2938013076782,0.005674695,8.539419
49,281.25,272.74197,747.0,62.0,281.25,1000.0,0.0,1000.0,1000.0,1000.0,121215,276.6011657714844,-0.016321804,8.539419
50,1000.0,0.0,1000.0,1000.0,1000.0,150.85715,156.92667,602.0,4.0,150.85714285714286,123327,282.12708139419556,-0.06845707,8.539419
51,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,126327,289.31228137016296,0.014069515,8.539419
52,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,129327,296.4891183376312,0.009197398,8.539419
53,885.0,0.0,885.0,885.0,885.0,1000.0,0.0,1000.0,1000.0,1000.0,132327,303.3746213912964,-0.010039931,8.539419
54,85.2,73.11197,229.0,32.0,85.2,703.25,307.0451,1000.0,295.0,703.25,135140,309.11676359176636,0.006382025,8.539419
55,36.727272,13.087751,70.0,26.0,36.72727272727273,65.0,45.652176,206.0,26.0,65.0,137285,313.6536474227905,-0.010707837,8.539419
56,37.636364,12.484701,66.0,28.0,37.63636363636363,47.720932,21.407806,114.0,27.0,47.72093023255814,139337,318.04265236854553,-0.026393482,8.539419
57,49.666668,22.852182,92.0,28.0,49.666666666666664,43.291668,21.776283,133.0,27.0,43.291666666666664,141415,322.55586218833923,0.0057687666,8.539419
58,37.18182,14.726711,55.0,10.0,37.18181818181818,46.93182,31.020077,174.0,10.0,46.93181818181818,143480,326.94605708122253,-0.008904187,8.539419
59,40.7,16.816956,83.0,10.0,40.7,40.568626,14.983985,106.0,10.0,40.568627450980394,145549,331.463894367218,0.015028193,8.539419
60,27.133333,12.34432,41.0,8.0,27.133333333333333,33.5,17.943235,101.0,6.0,33.5,147626,335.8810443878174,0.013523419,8.539419
61,37.727272,1.0523489,40.0,36.0,37.72727272727273,30.220589,12.763511,45.0,6.0,30.220588235294116,149681,340.2804775238037,-0.016003387,8.539419
62,43.6,4.0298886,53.0,38.0,43.6,36.589287,9.0648,48.0,6.0,36.589285714285715,151730,344.80087971687317,0.010892349,8.539419
63,46.88889,6.3498807,61.0,40.0,46.888888888888886,44.12766,5.1884365,56.0,37.0,44.12765957446808,153804,349.3407464027405,0.017561458,8.539419
64,54.0,5.6347136,64.0,45.0,54.0,49.761906,7.9845376,82.0,41.0,49.76190476190476,155894,353.8417749404907,0.02478084,8.539419
65,75.5,15.510749,98.0,47.0,75.5,56.81081,10.689317,86.0,41.0,56.810810810810814,157996,358.37472105026245,0.038415946,8.539419
66,108.0,23.717083,132.0,75.0,108.0,68.9,13.5802555,106.0,48.0,68.9,160063,362.94082164764404,-0.0005579341,8.539419
67,274.5,1.5,276.0,273.0,274.5,102.55,22.413109,153.0,71.0,102.55,162114,367.5592586994171,-0.010743532,8.539419
68,1000.0,0.0,1000.0,1000.0,1000.0,240.44444,46.74068,323.0,168.0,240.44444444444446,164278,373.18465423583984,-0.0038768218,8.539419
69,1000.0,0.0,1000.0,1000.0,1000.0,1000.0,0.0,1000.0,1000.0,1000.0,167278,380.4963047504425,0.005702459,8.539419
