Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,Initial_DataCollection_AverageReturn
38,58.7223,12.503487,76.33605,48.565414,150.0,40.449413,20.590727,92.19385,-30.204248,150.0,1953900,2642.4309096336365,-0.06915701,-91.0735
39,34.48502,4.4370813,40.404373,29.721878,150.0,44.31219,23.062347,100.545074,-45.512573,150.0,2004000,2704.2608709335327,-0.061807096,-91.0735
40,59.146313,8.552103,69.22029,48.313297,150.0,53.564827,19.691668,98.57242,-8.416834,150.0,2054100,2766.571975708008,-0.06469519,-91.0735
41,54.57954,11.658039,65.710014,38.48106,150.0,62.160137,20.168186,107.66007,-18.860777,150.0,2104200,2828.7495064735413,-0.07550274,-91.0735
42,93.43627,19.706568,114.042465,66.883194,150.0,63.43116,21.961742,110.681335,-21.650434,150.0,2154300,2890.847594976425,-0.06409915,-91.0735
43,90.7194,16.085445,109.967094,70.595215,150.0,68.34456,22.633894,111.2139,-21.347214,150.0,2204400,2953.0248639583588,-0.07197077,-91.0735
44,77.10008,12.737471,95.03102,66.642715,150.0,71.247215,22.71344,119.675095,-18.06761,150.0,2254500,3015.0960364341736,-0.05347509,-91.0735
45,64.7387,7.007865,72.543755,55.54693,150.0,78.35982,22.888607,127.8569,-38.732098,150.0,2304600,3077.230209350586,-0.051979303,-91.0735
46,90.793,21.148594,120.41878,72.42629,150.0,81.290504,26.705328,144.38869,-51.34846,150.0,2354700,3139.1797132492065,-0.04926613,-91.0735
47,108.04165,15.435501,127.320145,89.53467,150.0,82.497086,25.881374,132.16577,-36.06292,150.0,2404800,3201.0433468818665,-0.044675272,-91.0735
48,83.71468,21.869715,111.460106,58.00684,150.0,89.74904,21.114014,134.4347,-1.2522488,150.0,2454900,3262.422280073166,-0.06554417,-91.0735
49,84.46493,19.845724,102.01747,56.72262,150.0,94.76082,22.773708,146.56519,-46.951553,150.0,2505000,3323.9041142463684,-0.048119504,-91.0735
50,118.32221,15.818576,134.07564,96.690025,150.0,101.404915,23.754904,142.4956,-33.303734,150.0,2555100,3386.1215827465057,-0.06847802,-91.0735
51,95.39765,24.596571,117.62821,61.1126,150.0,108.80366,20.307055,147.8247,23.047138,150.0,2605200,3448.1420526504517,-0.054423884,-91.0735
52,122.68435,20.8887,150.4498,100.06569,150.0,112.470634,24.354294,159.62749,-26.182482,150.0,2655300,3510.026174545288,-0.037720803,-91.0735
53,108.7956,29.661777,148.53229,77.287735,150.0,113.357925,24.668959,175.03131,19.661427,150.0,2705400,3572.2519829273224,-0.047596224,-91.0735
54,126.02947,10.057164,135.79892,112.19275,150.0,113.548195,26.79601,177.82779,-1.4607162,150.0,2755500,3634.588438510895,-0.034646638,-91.0735
55,135.59422,10.537734,149.09511,123.37932,150.0,105.41893,32.91003,158.5907,-31.828962,150.0,2805600,3696.831372022629,-0.04891942,-91.0735
56,105.185524,14.164066,125.0585,93.07422,150.0,113.07883,21.832842,158.83473,-36.340267,150.0,2855700,3759.10977268219,-0.03810354,-91.0735
57,108.11793,12.164658,118.02193,90.98392,150.0,107.23681,22.188234,159.2944,-3.955432,150.0,2905800,3821.7574870586395,-0.032811843,-91.0735
