Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,baseline_loss,Initial_DataCollection_AverageReturn
0,-62.60565,41.05085,-24.632355,-119.622284,150.0,-90.476814,34.44519,-1.4384451,-181.42584,150.0,30000,16.916868925094604,-0.07518781,1.0858539,-90.476814
1,-81.487625,25.686983,-51.78315,-114.44966,150.0,-82.57883,34.68107,22.441086,-186.05493,150.0,60000,33.79147219657898,-0.07746395,1.01963,-90.476814
2,-94.14408,14.984355,-83.287964,-115.333015,150.0,-81.40968,35.028133,27.981867,-186.31163,150.0,90000,50.62240242958069,-0.09573124,1.025531,-90.476814
3,-68.52171,22.07029,-40.20959,-94.056015,150.0,-75.65849,35.427998,34.318497,-167.44656,150.0,120000,67.4679217338562,-0.06508053,1.0079321,-90.476814
4,-67.201805,28.689608,-26.677889,-89.19565,150.0,-74.76607,33.709198,-1.7027798,-185.95981,150.0,150000,84.36839032173157,-0.0706582,0.98903936,-90.476814
5,-47.75166,11.106465,-33.210556,-60.164932,150.0,-70.19027,30.572716,1.6298685,-173.8067,150.0,180000,101.21412944793701,-0.07945087,0.9764754,-90.476814
6,-76.22039,8.367827,-65.61863,-86.0746,150.0,-71.20319,34.41899,7.4403305,-190.22955,150.0,210000,118.23705673217773,-0.070451945,0.97384846,-90.476814
7,-62.98619,30.306349,-23.412752,-97.02666,150.0,-66.85361,30.572186,13.9165,-185.8335,150.0,240000,135.44083547592163,-0.086649224,0.97298604,-90.476814
8,-58.18749,7.4483185,-51.071823,-68.47151,150.0,-68.13975,29.662828,3.5372186,-182.7193,150.0,270000,152.38049507141113,-0.0680069,0.96183425,-90.476814
9,-89.07316,26.214268,-52.1829,-110.69845,150.0,-65.749016,28.134144,6.1443634,-141.38629,150.0,300000,169.40034198760986,-0.10109885,0.94557863,-90.476814
10,-74.905975,39.76584,-18.701412,-104.67207,150.0,-60.55076,29.35126,17.809637,-157.16058,150.0,330000,186.30114126205444,-0.08513792,0.93584156,-90.476814
11,-83.176025,22.20801,-64.510956,-114.383316,150.0,-60.405308,29.229794,10.62952,-149.27914,150.0,360000,203.1702094078064,-0.06740492,0.92700523,-90.476814
12,-62.69464,18.078955,-43.547844,-86.941925,150.0,-58.208084,32.007614,27.15266,-149.19496,150.0,390000,220.0676929950714,-0.08364354,0.91863674,-90.476814
13,-63.708252,5.42694,-59.177353,-71.33847,150.0,-54.44182,27.563246,13.17029,-125.73634,150.0,420000,236.9690899848938,-0.07137675,0.9031353,-90.476814
14,-53.610455,17.405205,-31.09886,-73.4879,150.0,-52.06419,27.136889,22.741457,-134.63246,150.0,450000,253.88151049613953,-0.09098492,0.89284354,-90.476814
15,-48.041363,22.594803,-23.407143,-77.98386,150.0,-50.331398,28.359922,11.500229,-139.03108,150.0,480000,270.76830315589905,-0.07817236,0.8854963,-90.476814
16,-40.37087,17.077538,-16.476475,-55.360573,150.0,-49.041725,25.281403,8.415923,-120.59412,150.0,510000,287.6603889465332,-0.07844925,0.87364143,-90.476814
17,-65.75555,27.445583,-39.80099,-103.726036,150.0,-47.41021,25.343912,15.353343,-142.52103,150.0,540000,304.5404109954834,-0.072229855,0.8621813,-90.476814
18,-25.764053,25.8173,10.434387,-47.992947,150.0,-45.185402,26.352037,16.819809,-121.90242,150.0,570000,321.41507363319397,-0.061206594,0.863652,-90.476814
19,-41.95331,13.188704,-26.115044,-58.40326,150.0,-45.48459,25.741995,12.738848,-121.70848,150.0,600000,338.307284116745,-0.05373064,0.838587,-90.476814
