Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,baseline_loss,Initial_DataCollection_AverageReturn
0,-90.213234,26.86445,-61.829346,-126.27557,150.0,-107.360054,36.412422,19.560564,-211.52336,150.0,50100,29.659371852874756,-0.08952819,1.0925498,-107.360054
1,-92.19712,38.01636,-46.30199,-139.39532,150.0,-83.26841,33.347137,-3.1630306,-192.49088,150.0,100200,59.18193054199219,-0.07636747,1.0641764,-107.360054
2,-88.27387,7.5518713,-82.46449,-98.93965,150.0,-80.26532,35.334595,25.954426,-179.0166,150.0,150300,88.68619632720947,-0.08087269,0.99404645,-107.360054
3,-54.512222,40.257122,-17.684155,-110.52577,150.0,-73.68328,33.799946,40.088326,-190.68079,150.0,200400,118.48411226272583,-0.069304936,0.9954937,-107.360054
4,-68.105064,2.2444417,-64.93483,-69.82615,150.0,-66.55512,31.027586,10.00834,-171.96542,150.0,250500,148.309161901474,-0.07830003,0.9975059,-107.360054
5,-56.68613,24.36061,-24.093716,-82.649796,150.0,-63.017273,28.624062,24.957787,-148.51358,150.0,300600,178.51155376434326,-0.06135257,0.9825686,-107.360054
6,-62.010162,8.39148,-54.445625,-73.71132,150.0,-60.224796,26.871853,14.670244,-141.5813,150.0,350700,208.28745651245117,-0.08073739,0.9691086,-107.360054
7,-17.898684,18.59186,8.1227665,-34.17269,150.0,-55.559647,29.079252,18.415754,-188.26105,150.0,400800,237.86413764953613,-0.067239955,0.95670956,-107.360054
8,-24.1819,10.067183,-10.188572,-33.45064,150.0,-51.468166,28.199196,42.25447,-153.4382,150.0,450900,267.4752378463745,-0.07519951,0.9559503,-107.360054
9,-39.38559,21.154442,-20.058537,-68.82573,150.0,-48.53402,29.468647,90.62034,-176.60352,150.0,501000,297.16953897476196,-0.07013543,0.9474698,-107.360054
10,-35.5374,14.720058,-21.089462,-55.7407,150.0,-46.622803,28.981157,22.176771,-151.30243,150.0,551100,326.850200176239,-0.065263875,0.9308635,-107.360054
11,-24.458937,18.942188,-7.239113,-50.84012,150.0,-42.634495,29.576643,22.976173,-176.08333,150.0,601200,356.55172967910767,-0.075757705,0.91036534,-107.360054
12,-23.754568,23.68702,9.729251,-41.35543,150.0,-41.211258,25.725811,16.946163,-158.11029,150.0,651300,386.25185656547546,-0.057141513,0.89131576,-107.360054
13,-31.08785,18.233175,-16.966957,-56.833138,150.0,-39.456722,25.572117,27.150837,-154.1576,150.0,701400,415.932089805603,-0.06402367,0.88201004,-107.360054
14,-14.669166,9.744341,-1.5860529,-24.959372,150.0,-37.17024,22.91611,29.88903,-118.07356,150.0,751500,445.61986780166626,-0.09055422,0.85171103,-107.360054
15,-10.077628,12.605892,-0.012979507,-27.853184,150.0,-36.474857,22.744879,47.10521,-132.59035,150.0,801600,475.7578625679016,-0.07935157,0.83253044,-107.360054
16,-33.21384,20.307058,-4.505547,-48.231564,150.0,-33.761925,25.224915,37.40542,-140.12778,150.0,851700,505.2650787830353,-0.064110205,0.8385903,-107.360054
17,-9.4957075,18.06922,13.128002,-31.09692,150.0,-33.628895,24.443628,24.075933,-169.85648,150.0,901800,534.8226864337921,-0.082588576,0.84063464,-107.360054
18,-22.369616,6.3489985,-13.497725,-28.002157,150.0,-27.846437,22.696095,22.422474,-197.32529,150.0,951900,564.3520059585571,-0.066693194,0.83633935,-107.360054
19,-27.716133,22.25647,1.0259182,-53.197803,150.0,-26.58135,24.409842,33.62725,-162.59349,150.0,1002000,593.8795709609985,-0.063296676,0.82663316,-107.360054
20,-38.650265,11.3056555,-23.215822,-49.981384,150.0,-20.766739,19.458166,54.359043,-104.84609,150.0,1052100,623.4302809238434,-0.073361605,0.81629133,-107.360054
21,-19.805748,10.394105,-5.878539,-30.8413,150.0,-14.680576,17.692543,30.71429,-77.9366,150.0,1102200,652.9901723861694,-0.07495724,0.7971928,-107.360054
22,-26.124166,14.343072,-6.6703672,-40.825783,150.0,-13.984262,19.149035,32.351543,-74.92911,150.0,1152300,682.5684285163879,-0.07637489,0.79996747,-107.360054
23,-4.9602976,6.5499053,1.3436184,-13.989957,150.0,-12.551121,18.72863,39.132233,-96.951904,150.0,1202400,712.126608133316,-0.07892349,0.76777834,-107.360054
24,-26.601303,8.99242,-15.2490425,-37.24131,150.0,-10.766461,19.138166,38.04253,-123.96643,150.0,1252500,741.6400759220123,-0.06887675,0.7321665,-107.360054
25,-9.144151,5.2031784,-4.652381,-16.43757,150.0,-8.784948,19.326818,63.059677,-69.82065,150.0,1302600,771.1714615821838,-0.081590444,0.6802397,-107.360054
26,-26.66404,20.308466,-4.900976,-53.77602,150.0,-8.701045,17.540703,55.556675,-73.05884,150.0,1352700,800.6543505191803,-0.063279465,0.673472,-107.360054
27,1.3915571,15.828435,21.707014,-16.90685,150.0,-3.0856764,14.559143,34.886208,-58.63909,150.0,1402800,830.2229573726654,-0.085904755,0.6558817,-107.360054
28,-14.045009,7.1608133,-4.8342648,-22.295586,150.0,-3.809388,13.528346,30.872051,-62.32862,150.0,1452900,859.7922687530518,-0.08008191,0.61717695,-107.360054
29,-0.21586943,4.384955,5.8678284,-4.298494,150.0,-2.6625538,11.587948,32.336746,-37.606728,150.0,1503000,889.3848528862,-0.083136864,0.5424517,-107.360054
30,-0.6684165,2.1712751,1.8980389,-3.411656,150.0,3.1719544,12.113641,47.01078,-32.93714,150.0,1553100,918.9410865306854,-0.08693108,0.5338175,-107.360054
31,10.574845,4.475162,16.009754,5.0490212,150.0,8.807452,13.289487,48.69479,-31.554184,150.0,1603200,948.5199825763702,-0.096226454,0.59375966,-107.360054
32,15.11432,14.400492,26.702375,-5.1831207,150.0,12.665299,14.876983,54.822052,-31.173632,150.0,1653300,978.0631287097931,-0.07807927,0.67754585,-107.360054
33,18.148708,15.205498,31.488804,-3.1275759,150.0,15.828264,14.807291,55.59443,-25.34614,150.0,1703400,1008.909060716629,-0.06844431,0.69672096,-107.360054
34,0.43893304,35.384613,41.03106,-45.20108,150.0,20.479454,15.605198,61.90249,-30.160355,150.0,1753500,1039.450629234314,-0.08940311,0.7503788,-107.360054
35,48.806046,2.5958922,52.05029,45.695923,150.0,22.708271,14.709427,66.74074,-27.710562,150.0,1803600,1070.0196342468262,-0.09086425,0.7357772,-107.360054
36,41.239513,7.4773026,51.384594,33.58374,150.0,24.583681,15.600221,69.848015,-20.9387,150.0,1853700,1099.9924437999725,-0.07939944,0.7683998,-107.360054
37,46.77295,2.7872796,49.059654,42.849014,150.0,29.158543,18.136501,82.76344,-26.948856,150.0,1903800,1129.8053977489471,-0.0793333,0.8051516,-107.360054
38,51.583958,12.640442,68.8317,38.890976,150.0,38.158237,16.640018,79.53458,-25.021542,150.0,1953900,1161.126844882965,-0.08753472,0.800118,-107.360054
39,58.624805,15.696508,80.034256,42.840992,150.0,44.727818,16.178715,90.075806,-22.711363,150.0,2004000,1191.5796711444855,-0.06765748,0.8196682,-107.360054
40,58.111423,4.326067,64.07863,53.95879,150.0,48.747547,19.4614,104.85435,-4.204624,150.0,2054100,1222.2005677223206,-0.05930302,0.8004977,-107.360054
41,54.191006,15.274963,69.91432,33.500874,150.0,50.665005,18.74314,109.77457,1.3804084,150.0,2104200,1252.8308548927307,-0.056265324,0.7797684,-107.360054
42,73.49567,19.42685,91.67936,46.56794,150.0,55.246983,17.226442,99.68149,5.2869277,150.0,2154300,1283.4182155132294,-0.07102424,0.8160172,-107.360054
43,65.09041,39.05288,110.742584,15.345922,150.0,60.270046,18.670128,109.29697,-6.865076,150.0,2204400,1314.0413053035736,-0.083829656,0.8552559,-107.360054
44,73.26511,28.393372,95.06773,33.161747,150.0,63.431934,19.706081,112.707855,-2.7618346,150.0,2254500,1344.6472811698914,-0.054249976,0.87623686,-107.360054
