Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,baseline_loss,Initial_DataCollection_AverageReturn
0,-62.934895,22.92605,-37.239754,-92.906296,150.0,-103.69838,39.848392,-7.659957,-190.19595,150.0,10050,12.256859540939331,-0.060685925,1.1336142,-103.69838
1,-65.222626,5.727993,-57.49473,-71.19005,150.0,-107.6129,35.389713,-46.966877,-201.54694,150.0,20100,24.5922269821167,-0.063757084,1.0608647,-103.69838
2,-84.02408,26.450022,-48.0186,-110.80803,150.0,-105.58231,34.38358,-38.671738,-181.86722,150.0,30150,36.75408458709717,-0.06924237,1.0315868,-103.69838
3,-91.43337,14.147188,-76.14937,-110.25633,150.0,-89.32948,34.33382,8.219133,-170.29286,150.0,40200,48.93463659286499,-0.06869057,1.0193373,-103.69838
4,-96.32188,39.956512,-64.934654,-152.70844,150.0,-93.40932,33.293392,-33.954063,-179.20157,150.0,50250,61.092899799346924,-0.09822366,1.0128005,-103.69838
5,-80.62704,53.554188,-5.041753,-122.56998,150.0,-86.360794,33.862885,-32.31204,-189.17386,150.0,60300,73.27035856246948,-0.070412785,1.0018961,-103.69838
6,-89.86044,22.71078,-66.62889,-120.68274,150.0,-84.177124,33.793987,8.368637,-177.09268,150.0,70350,85.43889880180359,-0.08798311,0.99509805,-103.69838
7,-43.934315,9.865622,-31.261063,-55.32438,150.0,-78.92143,24.908413,-29.620434,-136.86276,150.0,80400,97.56066417694092,-0.09426707,0.9849001,-103.69838
8,-67.535774,29.018925,-31.995285,-103.07684,150.0,-80.66249,34.50331,30.343801,-166.39684,150.0,90450,109.86407685279846,-0.053211484,0.9675429,-103.69838
9,-60.85623,36.036026,-24.044548,-109.78366,150.0,-75.812965,27.577568,-18.472242,-147.91713,150.0,100500,122.17918086051941,-0.08189802,0.97057974,-103.69838
10,-69.16585,24.580488,-36.05615,-94.89192,150.0,-79.929794,29.61849,-23.608953,-157.39069,150.0,110550,134.49281883239746,-0.08258138,0.9652261,-103.69838
11,-83.67683,21.391018,-53.544506,-101.06592,150.0,-79.00976,28.624603,-21.788895,-141.94986,150.0,120600,146.80063247680664,-0.06276183,0.9699538,-103.69838
12,-100.913246,21.86761,-74.86988,-128.37778,150.0,-64.658,23.929943,-3.2558851,-115.86418,150.0,130650,159.11580634117126,-0.06043314,0.96785915,-103.69838
13,-96.69192,23.617775,-76.806114,-129.8752,150.0,-66.18106,28.852537,24.11853,-149.9876,150.0,140700,171.29487538337708,-0.08472868,0.9586194,-103.69838
14,-67.869606,12.8788805,-54.41999,-85.23064,150.0,-75.88497,30.242128,-9.21455,-163.71753,150.0,150750,183.41024446487427,-0.0798146,0.94937664,-103.69838
15,-71.45942,31.016464,-30.69092,-105.86075,150.0,-70.64295,29.222607,-2.36162,-160.94414,150.0,160800,195.59192514419556,-0.07826488,0.9525491,-103.69838
16,-82.860664,21.123178,-66.429794,-112.68172,150.0,-75.21352,26.877361,-35.656662,-156.22182,150.0,170850,207.5637550354004,-0.11957561,0.9397887,-103.69838
17,-73.335266,12.673557,-55.751526,-85.13341,150.0,-77.687515,28.18238,21.562473,-146.3175,150.0,180900,220.12659525871277,-0.0623485,0.92573714,-103.69838
18,-68.98398,4.61847,-65.184814,-75.484665,150.0,-67.80937,27.416605,-6.5762515,-143.09024,150.0,190950,232.7595603466034,-0.08841129,0.9437781,-103.69838
19,-76.71571,22.223894,-51.10332,-105.29709,150.0,-66.91472,24.444273,-9.735273,-138.26141,150.0,201000,245.402188539505,-0.0885061,0.9286126,-103.69838
20,-79.95151,23.412985,-51.10141,-108.448006,150.0,-61.20924,25.871943,24.544746,-128.52696,150.0,211050,258.0944035053253,-0.06755755,0.9270674,-103.69838
21,-67.651794,19.780573,-52.48756,-95.591736,150.0,-72.70315,29.055367,2.8761673,-140.63196,150.0,221100,270.8156979084015,-0.08241908,0.9154046,-103.69838
22,-59.971416,17.090578,-36.109016,-75.22995,150.0,-68.63414,27.307325,-7.7908564,-158.70972,150.0,231150,283.59252977371216,-0.05833394,0.90346014,-103.69838
23,-49.49121,1.8391119,-47.34397,-51.83586,150.0,-68.62819,25.884321,-13.187882,-136.3411,150.0,241200,296.3761444091797,-0.09806597,0.8932701,-103.69838
24,-81.88439,29.365318,-49.960316,-120.849106,150.0,-62.344982,26.56383,0.3128295,-131.45502,150.0,251250,309.163592338562,-0.06523248,0.88318175,-103.69838
25,-34.640514,26.816954,0.9699073,-63.74382,150.0,-67.788605,31.25556,-11.77944,-171.16922,150.0,261300,321.9725821018219,-0.088237174,0.88963765,-103.69838
26,-36.25613,22.656927,-11.097759,-66.019516,150.0,-60.16258,30.158348,0.334877,-133.68205,150.0,271350,334.6950418949127,-0.08447782,0.8848931,-103.69838
