Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,Initial_DataCollection_AverageReturn
42,106.25,10.638962,114.0,88.0,106.25,118.77778,39.98271,178.0,39.0,118.77777777777777,44816,26.217212438583374,68.37796,25.666666
43,137.75,42.55805,200.0,95.0,137.75,129.75,28.362608,200.0,102.0,129.75,45854,26.849916696548462,70.1191,25.666666
44,136.33333,11.085526,152.0,128.0,136.33333333333334,109.5,21.36469,138.0,75.0,109.5,46949,27.449939250946045,58.630184,25.666666
45,126.75,13.367404,142.0,112.0,126.75,116.111115,34.65527,155.0,51.0,116.11111111111111,47994,28.068150997161865,65.169464,25.666666
46,133.25,24.293776,173.0,113.0,133.25,117.77778,24.17886,146.0,68.0,117.77777777777777,49054,28.69875454902649,61.963104,25.666666
47,133.66667,35.873234,184.0,103.0,133.66666666666666,114.77778,24.123653,164.0,75.0,114.77777777777777,50087,29.270247220993042,62.117256,25.666666
48,127.5,13.425721,143.0,106.0,127.5,117.0,31.208973,156.0,41.0,117.0,51140,29.891853094100952,64.11864,25.666666
49,138.0,24.179882,166.0,107.0,138.0,133.5,25.372229,186.0,112.0,133.5,52208,30.47956871986389,69.322174,25.666666
50,156.0,31.28365,200.0,130.0,156.0,151.57143,43.21989,200.0,92.0,151.57142857142858,53269,31.085898876190186,81.598305,25.666666
51,150.0,38.28838,200.0,107.0,150.0,129.0,38.441513,183.0,49.0,129.0,54301,31.67508816719055,71.03494,25.666666
52,119.75,34.032154,178.0,92.0,119.75,168.16667,21.255718,200.0,138.0,168.16666666666666,55310,32.2646541595459,87.398346,25.666666
53,130.0,11.640447,149.0,120.0,130.0,149.71428,35.5677,200.0,103.0,149.71428571428572,56358,32.886202335357666,81.47261,25.666666
54,135.25,34.47735,183.0,88.0,135.25,146.125,40.17598,200.0,98.0,146.125,57527,33.56097221374512,79.77234,25.666666
55,167.0,45.2622,200.0,103.0,167.0,150.85715,45.823975,200.0,79.0,150.85714285714286,58583,34.183820724487305,83.253494,25.666666
56,159.0,31.315598,200.0,124.0,159.0,145.85715,43.708214,200.0,87.0,145.85714285714286,59604,34.78101372718811,78.357574,25.666666
57,147.0,27.313,185.0,122.0,147.0,151.28572,43.568386,200.0,97.0,151.28571428571428,60663,35.37806034088135,81.4361,25.666666
58,132.5,38.75887,187.0,82.0,132.5,125.125,29.040651,180.0,96.0,125.125,61664,35.98400282859802,66.72305,25.666666
