Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,baseline_loss,Initial_DataCollection_AverageReturn
0,-141.21944,12.150364,-124.15672,-151.50998,150.0,-110.35315,40.086136,-33.891266,-246.53242,150.0,10050,6.83978009223938,-0.09376162,1.0128741,-110.35315
1,-92.13656,28.170055,-61.700188,-129.61566,150.0,-99.12375,38.982506,-23.86993,-222.09712,150.0,20100,12.833297967910767,-0.056072313,1.006646,-110.35315
2,-99.83137,32.323387,-59.866528,-139.03125,150.0,-95.4945,41.329025,23.055683,-213.32172,150.0,30150,18.85456085205078,-0.10789107,0.9860979,-110.35315
3,-105.724754,15.842661,-88.88883,-126.94501,150.0,-95.14684,31.048727,-11.639134,-182.65549,150.0,40200,24.8532497882843,-0.06681837,0.98040074,-110.35315
4,-66.30062,12.044196,-49.317448,-75.920456,150.0,-93.23188,40.702175,16.33109,-170.52696,150.0,50250,30.843859434127808,-0.061235536,0.9566253,-110.35315
5,-81.60694,45.81412,-33.314503,-143.16013,150.0,-90.25903,31.617815,-25.156647,-202.47845,150.0,60300,36.841991662979126,-0.09615326,0.95525527,-110.35315
6,-60.940746,38.058655,-8.60517,-97.99121,150.0,-83.10188,31.730257,-21.996204,-168.65114,150.0,70350,42.86836218833923,-0.0890902,0.9587912,-110.35315
7,-52.895344,15.90028,-30.747375,-67.33518,150.0,-82.23771,33.553173,9.015006,-185.46951,150.0,80400,48.88225483894348,-0.08305133,0.9364539,-110.35315
8,-82.04349,26.082338,-50.519527,-114.39198,150.0,-76.92053,31.316011,-19.517231,-154.47536,150.0,90450,54.8957200050354,-0.046043843,0.9238258,-110.35315
9,-53.019566,25.969252,-17.900967,-79.885635,150.0,-82.096725,39.81396,-4.3971386,-194.30893,150.0,100500,60.966655254364014,-0.04948977,0.899706,-110.35315
10,-71.366585,20.949263,-46.008286,-97.31317,150.0,-72.175896,32.85073,6.692844,-155.07332,150.0,110550,66.96898150444031,-0.07982288,0.9139121,-110.35315
11,-78.03497,37.554436,-25.016981,-107.25002,150.0,-78.43709,27.987648,13.558665,-155.09216,150.0,120600,72.9928183555603,-0.06273158,0.88641465,-110.35315
12,-70.38648,19.703924,-47.528572,-95.61775,150.0,-71.73011,33.670128,4.119858,-170.30432,150.0,130650,79.0041720867157,-0.069570996,0.85991395,-110.35315
13,-56.170544,10.113607,-46.77271,-70.20692,150.0,-76.41436,39.337048,28.847937,-192.66144,150.0,140700,85.01662421226501,-0.09365769,0.84251505,-110.35315
14,-81.18186,23.30228,-50.833115,-107.478714,150.0,-58.27936,31.422235,23.268131,-133.44427,150.0,150750,91.0441198348999,-0.07289154,0.8768487,-110.35315
15,-48.388653,33.616245,-0.9060378,-74.161896,150.0,-65.33933,27.49614,8.9599085,-123.90608,150.0,160800,97.06554698944092,-0.09107304,0.8542953,-110.35315
16,-41.732094,8.627616,-31.062798,-52.19297,150.0,-70.022644,29.618593,-8.364434,-158.8517,150.0,170850,103.07923197746277,-0.09121431,0.85412157,-110.35315
17,-36.38729,18.67338,-18.339638,-62.107056,150.0,-60.56894,24.817415,-7.754202,-120.08115,150.0,180900,109.10834622383118,-0.067698404,0.85737747,-110.35315
18,-47.4433,11.12767,-35.00467,-62.011143,150.0,-58.99985,28.07586,30.122822,-145.10027,150.0,190950,115.14237761497498,-0.08726284,0.8207527,-110.35315
19,-54.621166,31.615862,-23.533691,-97.99512,150.0,-60.07019,27.50241,-7.209277,-120.23991,150.0,201000,121.17119646072388,-0.09192796,0.8179365,-110.35315
20,-33.728085,11.740812,-17.13324,-42.503334,150.0,-50.070072,25.862452,19.765308,-114.99263,150.0,211050,127.1785900592804,-0.08524742,0.8289871,-110.35315
21,-27.498835,15.771421,-5.7597446,-42.688744,150.0,-48.59564,21.104773,-3.8599682,-106.228546,150.0,221100,133.18796133995056,-0.0776398,0.80455655,-110.35315
22,-24.586761,21.654259,1.8719783,-51.16947,150.0,-42.38788,26.373951,28.408018,-100.964806,150.0,231150,139.19535398483276,-0.090070054,0.7716505,-110.35315
23,-23.824518,7.4701514,-13.989566,-32.082657,150.0,-50.165005,30.095417,38.286213,-139.94055,150.0,241200,145.36699652671814,-0.061164692,0.784183,-110.35315
24,-33.797592,28.006483,5.559664,-57.323235,150.0,-43.83335,25.0804,-1.6901612,-100.527435,150.0,251250,151.4097089767456,-0.059275705,0.7810802,-110.35315
25,-26.245958,25.855995,7.5120363,-55.294468,150.0,-41.89025,27.484606,9.582456,-120.47479,150.0,261300,157.9854896068573,-0.060169417,0.77972335,-110.35315
26,-33.914623,6.395826,-27.496368,-42.643208,150.0,-44.420784,26.012545,1.1289158,-111.41989,150.0,271350,164.41154527664185,-0.07182153,0.76967394,-110.35315
27,-38.45684,29.240631,-7.0829225,-77.4736,150.0,-40.257202,29.756035,25.47607,-158.76306,150.0,281400,170.463276386261,-0.08736027,0.7848283,-110.35315
28,-10.741211,28.720074,29.17673,-37.194992,150.0,-33.470142,23.790379,3.5266228,-96.54623,150.0,291450,177.08540511131287,-0.060733,0.7759354,-110.35315
29,-11.742019,10.691444,-1.031807,-26.339905,150.0,-40.960754,27.886427,5.3847885,-134.69928,150.0,301500,182.9982454776764,-0.08720662,0.7542807,-110.35315
30,-39.69647,2.1931853,-36.610245,-41.50701,150.0,-36.868187,23.281101,19.355564,-102.75867,150.0,311550,188.8552384376526,-0.061090883,0.765272,-110.35315
31,-16.696863,11.822654,-1.471699,-30.293465,150.0,-31.251165,22.461748,14.6856985,-90.21993,150.0,321600,194.72222328186035,-0.061259963,0.7475087,-110.35315
32,-43.024265,9.804469,-29.40683,-52.094727,150.0,-32.296997,21.248966,12.573169,-77.578094,150.0,331650,200.59428572654724,-0.075878136,0.76201516,-110.35315
33,-12.306243,3.2126017,-9.884729,-16.846176,150.0,-35.025772,22.698883,41.64898,-81.539734,150.0,341700,206.44950079917908,-0.052634545,0.8049625,-110.35315
34,-40.35125,19.720758,-21.844694,-67.673645,150.0,-33.393467,23.81836,16.895817,-96.54739,150.0,351750,212.3141016960144,-0.11611469,0.73929054,-110.35315
35,-27.65164,5.8932323,-19.322495,-32.069786,150.0,-33.759087,28.752615,54.087578,-118.96721,150.0,361800,218.1638548374176,-0.06631885,0.77399474,-110.35315
36,-32.175076,4.216673,-28.55714,-38.089333,150.0,-31.89744,24.833765,22.77351,-103.7249,150.0,371850,224.04070138931274,-0.07047993,0.6948619,-110.35315
37,-20.773806,16.647282,2.743003,-33.49022,150.0,-28.42268,21.13969,38.90178,-78.97273,150.0,381900,229.91228199005127,-0.045162003,0.7348656,-110.35315
38,-12.461314,7.6177025,-5.676302,-23.100668,150.0,-34.39077,22.596512,12.112263,-85.21149,150.0,391950,235.7912678718567,-0.065038554,0.70383483,-110.35315
39,-49.805004,7.2601933,-42.533306,-59.718384,150.0,-26.43702,24.508923,30.610107,-83.71449,150.0,402000,241.66787672042847,-0.09942567,0.70554477,-110.35315
40,-62.258556,39.36489,-30.697107,-117.75449,150.0,-19.077753,17.446236,25.78714,-82.83173,150.0,412050,247.53375673294067,-0.046754062,0.71896625,-110.35315
41,-23.073164,7.1294003,-12.999826,-28.48191,150.0,-23.097359,30.71978,39.846367,-124.62953,150.0,422100,253.3822021484375,-0.08253508,0.7490775,-110.35315
42,-17.310942,4.4592867,-11.683329,-22.589567,150.0,-24.623596,23.621717,34.5244,-80.31883,150.0,432150,259.22221970558167,-0.08998375,0.75628465,-110.35315
43,-19.870375,38.083923,29.09155,-63.783913,150.0,-21.425787,23.13733,35.496788,-86.71856,150.0,442200,265.0912971496582,-0.08112356,0.7234478,-110.35315
44,-28.956194,35.917072,6.98258,-78.01187,150.0,-24.258564,26.342281,32.767773,-141.88538,150.0,452250,270.97877645492554,-0.09177372,0.734237,-110.35315
45,8.983293,20.918243,28.247505,-20.091728,150.0,-22.733307,24.238123,15.640912,-152.99248,150.0,462300,276.8415620326996,-0.050433666,0.72586966,-110.35315
46,-33.81551,47.100376,9.579225,-99.27749,150.0,-18.755383,26.434074,38.36399,-140.37541,150.0,472350,282.70217061042786,-0.07578325,0.6596976,-110.35315
47,-16.542437,7.1950006,-9.247783,-26.333302,150.0,-18.69742,19.32458,15.6068735,-112.532036,150.0,482400,288.570449590683,-0.042952143,0.72650844,-110.35315
48,-8.252404,24.199085,25.35673,-30.643852,150.0,-14.868699,19.6599,27.683409,-92.19331,150.0,492450,294.4472863674164,-0.047467656,0.6591276,-110.35315
49,-27.457937,23.573116,4.116701,-52.509136,150.0,-16.223879,18.484444,23.395647,-87.860214,150.0,502500,300.31161069869995,-0.06485925,0.6594866,-110.35315
50,-11.955066,9.30491,1.1544266,-19.498724,150.0,-18.96279,17.83917,43.446503,-75.28752,150.0,512550,306.168452501297,-0.08515829,0.6416911,-110.35315
51,-44.035076,13.003202,-27.01301,-58.572044,150.0,-18.298975,15.339967,3.6706314,-72.116394,150.0,522600,312.0566008090973,-0.071170695,0.6762517,-110.35315
52,-12.099288,5.621757,-5.0561466,-18.814892,150.0,-12.284995,16.10276,18.49778,-50.159714,150.0,532650,317.9145157337189,-0.05843592,0.6666959,-110.35315
53,-6.406469,13.673404,12.653762,-18.76035,150.0,-10.3825445,17.60938,18.678991,-66.36543,150.0,542700,323.78336906433105,-0.06593376,0.6500479,-110.35315
54,9.428065,4.2226844,13.851468,3.7419248,150.0,-14.511403,13.761128,19.464485,-41.78541,150.0,552750,329.64528250694275,-0.08117685,0.63651633,-110.35315
55,-4.2480936,8.621378,6.354226,-14.763212,150.0,-13.151085,25.159115,38.398598,-137.43234,150.0,562800,335.5134925842285,-0.094769515,0.62077767,-110.35315
56,-10.355416,3.7231202,-5.391853,-14.358617,150.0,-14.842118,17.082424,33.04589,-53.67988,150.0,572850,341.3642838001251,-0.08752514,0.62901866,-110.35315
57,-7.681774,7.6760864,1.8525686,-16.94402,150.0,-9.289164,15.069471,26.682453,-34.682068,150.0,582900,347.2256169319153,-0.093424514,0.5738584,-110.35315
58,-13.77975,14.719909,6.9387865,-25.891228,150.0,-9.619144,16.398996,34.031246,-49.723198,150.0,592950,353.0858955383301,-0.049313314,0.6255879,-110.35315
59,-7.5562987,13.382712,2.2416167,-26.478313,150.0,-7.1254783,13.551599,33.014297,-42.209976,150.0,603000,358.95460510253906,-0.07851482,0.5968143,-110.35315
60,-13.5675,2.3318539,-10.416149,-15.984636,150.0,-9.065458,16.834982,28.072378,-65.86575,150.0,613050,364.84753370285034,-0.0888881,0.56425214,-110.35315
61,2.744772,17.417418,16.499084,-21.82882,150.0,-9.275532,15.239148,28.724598,-45.2901,150.0,623100,370.7159605026245,-0.03152265,0.58740383,-110.35315
62,-12.025348,15.140373,9.291886,-24.424097,150.0,-9.262906,15.28909,21.451248,-42.68017,150.0,633150,376.6313965320587,-0.098354906,0.49771369,-110.35315
63,0.5440502,6.989537,5.9382067,-9.326433,150.0,-6.090297,14.053871,41.504375,-46.266693,150.0,643200,382.56476402282715,-0.07567993,0.4760951,-110.35315
64,0.5184718,1.6067295,1.7335691,-1.7519128,150.0,-3.592088,15.361232,31.487795,-46.671074,150.0,653250,388.42809534072876,-0.0905367,0.49386418,-110.35315
65,20.376562,4.0502286,24.919176,15.083662,150.0,-2.2743564,13.521764,34.957973,-33.36231,150.0,663300,394.2954487800598,-0.07679496,0.53819317,-110.35315
66,-1.2350935,14.382236,10.560492,-21.482841,150.0,3.7285538,12.493154,30.783972,-29.541592,150.0,673350,400.15675616264343,-0.092875846,0.4980482,-110.35315
67,7.1497283,9.24169,16.41489,-5.466011,150.0,8.373816,13.722934,40.53867,-45.52363,150.0,683400,406.04292011260986,-0.093156435,0.4918374,-110.35315
68,9.471202,24.149698,36.86501,-21.889122,150.0,10.071122,16.819601,42.785213,-44.38558,150.0,693450,411.92500472068787,-0.057266034,0.5924916,-110.35315
69,10.903171,26.743793,37.155205,-25.80184,150.0,9.634536,18.067663,50.492474,-41.192646,150.0,703500,417.7935631275177,-0.08823335,0.73583853,-110.35315
