Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,baseline_loss,Initial_DataCollection_AverageReturn
0,-110.484215,17.787216,-85.33473,-123.51196,150.0,-97.52559,36.68259,12.042707,-200.08667,150.0,30000,16.93821883201599,-0.06281507,1.0268519,-97.52559
1,-93.79037,56.81599,-16.104704,-150.40364,150.0,-88.712364,41.603992,0.61411285,-211.82295,150.0,60000,33.80658936500549,-0.0762121,1.1422044,-97.52559
2,-76.38944,27.528444,-39.908905,-106.40259,150.0,-81.90201,34.49112,3.1275597,-209.32712,150.0,90000,50.63402462005615,-0.06288396,1.0498888,-97.52559
3,-57.12912,41.436317,-15.042652,-113.48524,150.0,-74.60049,30.096516,20.077002,-160.4399,150.0,120000,67.47356390953064,-0.079015695,1.00051,-97.52559
4,-53.4876,34.16152,-5.2023077,-79.01305,150.0,-75.88671,34.333973,55.59103,-176.48184,150.0,150000,84.29992723464966,-0.063201785,0.9955935,-97.52559
5,-86.737724,13.612507,-74.62043,-105.75125,150.0,-75.117165,30.358414,-4.2351427,-176.59267,150.0,180000,101.12319803237915,-0.06774159,0.9886732,-97.52559
6,-60.811108,21.645573,-31.720802,-83.60925,150.0,-68.65767,30.699799,-6.3673897,-159.11607,150.0,210000,117.9710419178009,-0.078024685,0.97858584,-97.52559
7,-47.286488,2.9210694,-43.254646,-50.081604,150.0,-66.589035,27.926123,-6.2059917,-172.13693,150.0,240000,134.8289601802826,-0.07797038,0.96556145,-97.52559
8,-67.402405,19.916897,-40.618126,-88.34279,150.0,-59.12962,26.496687,17.807133,-130.6899,150.0,270000,151.68138670921326,-0.059182763,0.9468879,-97.52559
9,-30.282959,14.086386,-17.698576,-49.94917,150.0,-56.268867,30.033022,11.724909,-163.01263,150.0,300000,168.54670000076294,-0.074388035,0.9337901,-97.52559
10,-25.215063,22.340885,-2.071371,-55.413498,150.0,-46.757935,25.880888,14.788046,-146.31421,150.0,330000,185.40385961532593,-0.06819218,0.93294364,-97.52559
11,-40.62119,11.820723,-23.948004,-50.005608,150.0,-46.037918,26.801014,31.786322,-140.1679,150.0,360000,202.2660608291626,-0.057658203,0.91613984,-97.52559
12,-15.892677,1.651956,-14.318671,-18.174778,150.0,-40.180275,29.413279,30.663967,-130.5239,150.0,390000,219.13284611701965,-0.055129632,0.90208375,-97.52559
