Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,baseline_loss,Initial_DataCollection_AverageReturn
0,-56.68741,35.991528,-16.636402,-103.916275,150.0,-91.99061,34.697582,-4.204048,-239.99023,150.0,50100,57.356614112854004,-0.06881518,1.0674493,-91.99061
1,-102.61023,35.43888,-56.467636,-142.62311,150.0,-84.354935,35.838974,-6.5896363,-219.63913,150.0,100200,113.50890827178955,-0.07422583,1.0281262,-91.99061
2,-106.303955,27.740656,-83.88829,-145.39493,150.0,-85.1264,33.175926,14.039284,-201.32257,150.0,150300,171.06103110313416,-0.06459708,1.0188115,-91.99061
3,-88.46475,14.6593685,-67.86509,-100.785965,150.0,-84.43323,35.542492,24.072285,-233.48094,150.0,200400,228.97543239593506,-0.07018962,1.0102719,-91.99061
4,-63.762234,22.635956,-37.361496,-92.64159,150.0,-80.02061,34.800648,4.8043785,-205.128,150.0,250500,286.94754576683044,-0.062673636,1.0008898,-91.99061
5,-75.461365,14.8931265,-58.229717,-94.56578,150.0,-76.36838,31.397156,28.968872,-171.78934,150.0,300600,345.37202501296997,-0.07597314,0.9872432,-91.99061
6,-76.02164,8.821284,-64.41996,-85.79405,150.0,-74.8041,31.559696,20.15638,-195.81975,150.0,350700,405.4060046672821,-0.071085505,0.97840685,-91.99061
7,-46.869015,37.02325,-16.655052,-99.00867,150.0,-76.89091,32.05455,23.350122,-199.55737,150.0,400800,465.48970222473145,-0.0803315,0.9755354,-91.99061
8,-43.08896,11.87244,-26.314472,-52.104492,150.0,-75.31514,32.851936,25.983747,-185.80098,150.0,450900,524.3528144359589,-0.0917401,0.9702428,-91.99061
9,-56.306194,25.571335,-33.721573,-92.05849,150.0,-73.5974,31.725689,0.8581381,-187.00443,150.0,501000,582.9697115421295,-0.093645,0.96531063,-91.99061
10,-81.02655,59.096188,-24.968136,-162.73657,150.0,-73.83504,32.813744,15.518385,-220.60977,150.0,551100,641.1927583217621,-0.07748041,0.9607017,-91.99061
11,-57.94969,12.143416,-48.079956,-75.05563,150.0,-68.400986,31.360682,39.597652,-170.17685,150.0,601200,699.7254848480225,-0.07046844,0.95117205,-91.99061
12,-54.519344,11.064166,-43.279644,-69.566574,150.0,-67.494446,33.41058,34.20317,-211.52588,150.0,651300,758.5171844959259,-0.07187872,0.94273585,-91.99061
13,-96.389046,27.861355,-71.78804,-135.3443,150.0,-64.998184,31.691475,43.325237,-210.04407,150.0,701400,816.4052059650421,-0.07692508,0.93285006,-91.99061
14,-68.97048,2.3550503,-65.8085,-71.45746,150.0,-67.69693,32.95023,26.54711,-197.42973,150.0,751500,875.4701895713806,-0.07550383,0.92716944,-91.99061
15,-58.389954,14.657523,-40.2994,-76.199554,150.0,-63.287987,32.664967,24.763601,-178.96976,150.0,801600,933.7222783565521,-0.0773704,0.92279464,-91.99061
16,-64.235115,52.61222,-19.740631,-138.12778,150.0,-63.705067,33.229603,20.50719,-210.5711,150.0,851700,991.893618106842,-0.07862988,0.90713245,-91.99061
17,-61.74335,23.671415,-34.07283,-91.8961,150.0,-63.16054,30.51846,9.252359,-170.06897,150.0,901800,1050.1749634742737,-0.08681768,0.90260243,-91.99061
18,-54.21826,9.091832,-45.78575,-66.84057,150.0,-63.592007,32.449608,48.4362,-179.54486,150.0,951900,1109.0831217765808,-0.07186154,0.89166385,-91.99061
19,-55.23846,19.004696,-29.138834,-73.84479,150.0,-60.882957,30.156492,44.05622,-156.68732,150.0,1002000,1167.478577375412,-0.08561118,0.88935536,-91.99061
20,-65.83556,10.280216,-53.422867,-78.59691,150.0,-58.336685,29.573936,18.538612,-174.24463,150.0,1052100,1227.3143587112427,-0.086825594,0.88490176,-91.99061
21,-25.357565,17.664392,-1.2056837,-42.961716,150.0,-60.413593,30.374222,11.302195,-182.27844,150.0,1102200,1285.7816970348358,-0.072892964,0.8759002,-91.99061
22,-50.6479,11.611137,-35.788517,-64.1296,150.0,-53.430046,28.587975,26.274994,-152.18661,150.0,1152300,1345.2532620429993,-0.08046357,0.8744176,-91.99061
23,-29.623388,19.812048,-1.7730381,-46.202686,150.0,-51.697346,28.07872,17.807007,-143.51877,150.0,1202400,1404.3031992912292,-0.09063943,0.8730626,-91.99061
24,-65.03829,33.268536,-27.376896,-108.29045,150.0,-54.148766,28.082678,23.978832,-161.52002,150.0,1252500,1463.686933517456,-0.09168986,0.86574614,-91.99061
