Iteration,Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Train_EnvstepsSoFar,TimeSinceStart,train_loss,baseline_loss,Initial_DataCollection_AverageReturn
0,-64.79867,26.585863,-32.61229,-97.72159,150.0,-114.41078,39.22004,-10.233772,-226.18684,150.0,30000,35.58595943450928,-0.079169676,1.0485113,-114.41078
1,-129.76239,13.407829,-110.80149,-139.37692,150.0,-99.53328,38.660183,15.197686,-201.68323,150.0,60000,71.28899049758911,-0.08439797,1.0173527,-114.41078
2,-83.87951,5.53054,-78.55058,-91.502014,150.0,-100.57002,36.920967,8.175764,-249.68741,150.0,90000,107.03079390525818,-0.07992784,1.0046601,-114.41078
3,-77.132965,44.538616,-19.979706,-128.6369,150.0,-94.803474,37.6371,-16.71692,-211.04445,150.0,120000,142.85097098350525,-0.073200226,0.99483764,-114.41078
4,-77.50579,11.062275,-61.980362,-86.936325,150.0,-88.53174,31.929535,-3.4612608,-203.22424,150.0,150000,178.38379502296448,-0.07286757,0.98743427,-114.41078
5,-64.86815,15.666275,-44.443985,-82.51585,150.0,-88.626076,36.105827,19.404781,-171.01218,150.0,180000,213.83296418190002,-0.08721838,0.97700965,-114.41078
6,-85.1825,11.443721,-74.27342,-100.98992,150.0,-85.50217,37.186523,11.7829895,-180.26215,150.0,210000,249.30302000045776,-0.056059226,0.9689233,-114.41078
7,-81.8757,16.114902,-60.828728,-99.96912,150.0,-82.96184,35.26556,11.757526,-186.04094,150.0,240000,284.7486414909363,-0.07066232,0.9600601,-114.41078
8,-86.07841,10.550564,-73.484634,-99.304886,150.0,-80.57829,35.81624,35.44977,-226.78879,150.0,270000,320.353707075119,-0.08369659,0.9555164,-114.41078
9,-92.44764,54.764587,-32.62247,-164.9566,150.0,-76.34186,34.91281,14.052807,-178.02396,150.0,300000,356.03735876083374,-0.068444684,0.94816667,-114.41078
10,-55.95848,37.487186,-21.27226,-108.0231,150.0,-71.48875,34.185337,20.789787,-168.44406,150.0,330000,391.32473969459534,-0.06977394,0.9466896,-114.41078
11,-44.830814,16.876314,-21.00634,-57.97216,150.0,-69.64114,35.299892,35.058243,-174.89694,150.0,360000,427.40288758277893,-0.08878345,0.9401624,-114.41078
12,-46.806,34.238293,-3.944872,-87.74512,150.0,-70.29391,33.961376,31.992275,-223.29337,150.0,390000,462.02943754196167,-0.07480378,0.93148047,-114.41078
13,-61.70518,29.58541,-39.98294,-103.53488,150.0,-71.30277,34.32334,29.917448,-179.61447,150.0,420000,496.7996621131897,-0.07519422,0.9268483,-114.41078
14,-69.12552,26.453382,-43.474434,-105.53471,150.0,-66.898636,32.148407,44.718662,-176.17937,150.0,450000,531.738890171051,-0.07891041,0.92400557,-114.41078
15,-58.971783,27.76451,-22.155872,-89.20105,150.0,-70.93022,33.700756,26.939259,-169.06209,150.0,480000,567.0857903957367,-0.07485216,0.91058874,-114.41078
16,-49.89125,6.3370275,-41.111572,-55.838272,150.0,-69.753426,35.1768,12.215958,-195.69798,150.0,510000,603.4731867313385,-0.08459199,0.90300196,-114.41078
17,-34.784473,20.174301,-6.2585907,-49.504707,150.0,-66.27711,33.92224,18.678333,-222.89655,150.0,540000,639.5108540058136,-0.086619906,0.892838,-114.41078
18,-70.2593,10.586289,-55.381554,-79.14516,150.0,-61.84333,30.638819,48.98666,-155.24983,150.0,570000,674.9586334228516,-0.09146728,0.88918006,-114.41078
19,-30.907331,63.875603,24.438381,-120.408806,150.0,-60.21463,29.448292,30.32545,-147.34882,150.0,600000,711.1996920108795,-0.07729814,0.8847124,-114.41078
20,-43.92149,34.423397,3.2157993,-78.026375,150.0,-61.665054,33.146286,45.689507,-206.4867,150.0,630000,746.9736175537109,-0.06420547,0.86331576,-114.41078
21,-49.98613,8.994444,-40.774055,-62.188435,150.0,-62.03303,33.7966,13.685607,-194.11328,150.0,660000,782.6405272483826,-0.07721817,0.8633746,-114.41078
22,-54.67661,13.937182,-35.2836,-67.42286,150.0,-58.432514,32.68189,16.81942,-166.81844,150.0,690000,818.2681591510773,-0.07596011,0.846875,-114.41078
23,-53.698673,20.109571,-25.386602,-70.181114,150.0,-59.853676,28.805275,29.498451,-190.40085,150.0,720000,853.9701414108276,-0.06173006,0.85199845,-114.41078
24,-55.44956,12.70351,-45.359962,-73.36754,150.0,-53.070343,27.65197,30.594303,-140.32785,150.0,750000,889.7386991977692,-0.08135996,0.8370956,-114.41078
25,-45.248535,11.427231,-33.52621,-60.743633,150.0,-57.98415,29.78754,7.1006055,-188.97495,150.0,780000,924.9020082950592,-0.074344836,0.84093654,-114.41078
26,-42.4715,8.4289055,-33.72176,-53.857162,150.0,-53.37127,31.792807,57.42305,-147.98676,150.0,810000,960.022463798523,-0.07096921,0.81341726,-114.41078
27,-89.42988,11.625782,-76.63926,-104.7716,150.0,-53.261642,28.739552,23.231197,-141.76392,150.0,840000,995.6412975788116,-0.07958117,0.82188004,-114.41078
28,-73.921104,8.5345,-61.995384,-81.49314,150.0,-52.050724,26.536947,1.4037476,-154.05203,150.0,870000,1031.2660875320435,-0.07646302,0.8275371,-114.41078
29,-27.571737,37.97006,17.856901,-75.08055,150.0,-47.993565,25.666979,27.934258,-123.67621,150.0,900000,1066.464344739914,-0.08284188,0.80494124,-114.41078
30,-39.22555,14.175514,-19.8629,-53.40505,150.0,-54.43254,29.094055,45.20861,-149.05136,150.0,930000,1101.5308594703674,-0.08345093,0.81173533,-114.41078
31,-40.455704,11.895701,-23.65495,-49.606094,150.0,-49.556915,26.236013,27.41808,-124.76524,150.0,960000,1137.2281153202057,-0.08387681,0.7976871,-114.41078
32,-63.24184,12.848119,-45.693493,-76.0968,150.0,-46.036095,28.133606,37.995865,-141.61623,150.0,990000,1172.8850150108337,-0.097904265,0.7806319,-114.41078
33,-34.816647,7.2022824,-25.812931,-43.44272,150.0,-51.123764,28.112467,8.026677,-165.68341,150.0,1020000,1208.2712099552155,-0.08943148,0.7757877,-114.41078
34,-37.67387,14.403651,-24.800646,-57.781906,150.0,-43.318565,23.1756,7.654958,-114.390915,150.0,1050000,1243.5520770549774,-0.07781876,0.77805185,-114.41078
35,-46.892487,14.605867,-28.5141,-64.24705,150.0,-42.845604,24.933062,23.153208,-139.27249,150.0,1080000,1278.7020463943481,-0.08557907,0.78207415,-114.41078
36,-49.06358,6.288482,-42.753464,-57.64582,150.0,-46.555138,26.349373,34.78811,-147.10555,150.0,1110000,1313.616196155548,-0.08960092,0.795335,-114.41078
37,-42.507126,18.86615,-19.306072,-65.517334,150.0,-44.1529,23.3147,23.9603,-118.60004,150.0,1140000,1348.9563701152802,-0.095143035,0.7711124,-114.41078
38,-39.680054,2.8924723,-36.531033,-43.515614,150.0,-41.74332,27.15262,22.623566,-158.65646,150.0,1170000,1384.2798461914062,-0.09397256,0.7663367,-114.41078
